SpecName,AverageFruitLength_cm,armature,armature_leaf,armature_stem,Fruit_size_binary
Brahea_aculeata,2.25,0,0,0,0
Brahea_armata,2.1,0,0,0,0
Brahea_brandegeei,1.85,0,0,0,0
Brahea_calcarea,1.7,0,0,0,0
Brahea_decumbens,1.5,0,0,0,0
Brahea_dulcis,1.3,1,1,0,0
Brahea_edulis,3,1,1,0,0
Brahea_moorei,0.65,0,0,0,0
Brahea_pimo,1,1,1,0,0
Brahea_salvadorensis,1.2,0,NA,0,0
Brahea_sarukhanii,1.9,1,1,0,0
Brassiophoenix_drymophloeoides,3.2,0,0,0,0
Brassiophoenix_schumannii,3.1,0,0,0,0
Burretiokentia_dumasii,1.2,0,0,0,0
Burretiokentia_grandiflora,2.2,0,0,0,0
Burretiokentia_hapala,1.6,0,0,0,0
Burretiokentia_koghiensis,1.6,0,0,0,0
Burretiokentia_vieillardii,2,0,0,0,0
Butia_archeri,1.9,0,0,0,0
Butia_campicola,1.75,0,0,0,0
Butia_capitata,2.65,1,1,0,0
Butia_catarinensis,2.5,0,NA,0,0
Butia_eriospatha,1.9,1,1,0,0
Butia_exilata,3.5,0,NA,0,0
Butia_exospadix,1.6,0,0,0,0
Butia_lallemantii,3,0,0,0,0
Butia_lepidotispatha,NA,0,NA,0,NA
Butia_leptospatha,1.2,0,0,0,0
Butia_marmorii,1.6,0,0,0,0
Butia_matogrossensis,NA,0,1,0,NA
Butia_microspadix,2,0,0,0,0
Butia_missionera,NA,0,NA,0,NA
Butia_noblickii,NA,0,NA,0,NA
Butia_odorata,2.2,0,NA,0,0
Butia_paraguayensis,2.95,1,1,0,0
Butia_pubispatha,NA,0,NA,0,NA
Butia_purpurascens,2.6,0,0,0,0
Butia_quaraimana,NA,0,NA,0,NA
Butia_stolonifera,NA,0,NA,0,NA
Butia_yatay,3.6,1,1,0,0
Butyagrus_nabonnandii,NA,1,1,0,NA
Calamus_acanthochlamys,1,1,1,0,0
Calamus_acanthophyllus,1.2,1,1,0,0
Calamus_acanthospathus,2.5,1,1,0,0
Calamus_acaulis,NA,1,1,0,NA
Calamus_acidus,NA,1,1,0,NA
Calamus_acuminatus,0.7,1,1,0,0
Calamus_adspersus,NA,1,1,0,NA
Calamus_aidae,0.3,1,1,0,0
Calamus_albidus,2.5,1,1,0,0
Calamus_albus,NA,1,1,0,NA
Calamus_altiscandens,0.5,1,1,0,0
Calamus_amplijugus,1,1,1,0,0
Calamus_andamanicus,1.8,1,1,0,0
